exit	﻿η έξοδος
παρατηρώ	1. notice, observe [v] 2. guard, monitor [v]
παρελθόν, η 	past (not present or future)
παρεμποδίζω, μπλέκομαι	interfere [v]
πάρκο, το 	park
παρόμοιο (-οια, -οιος), όμοιο (-οια, -οιος)	similar [aj]
παρόν, το 	present (the now)
παρόν (-ρούσα, -ρών)	present (not past or future) [aj]
πατάκι, κιλίμι, το 	rug, mat
πατάτα, η 	potato
πατάω	step on (push or press on something) [v]
πατέρας, ο 	father
πάτος, ο, κάτω μέρος, το	bottom
πάτωμα, το 	floor
πάχος, το 	1. thickness (of an object) 2. fat (of an animal)
παχουλό (-λή, -λός)	chubby, plump [aj]
παχύ (-χιά, -χύς)	thick, fat [aj]
παχύρρευστο (-τη, -τος)	viscous, thick [aj]
πεθαίνω	die [v]
πείραμα, το 	experiment
πειρασμός, ο, δέλεαρ, το	temptation
πέντε	five [num]
πέπλο, το 	veil
πεπόνι, το 	melon
πέρα	1. away [av] 2. beyond, farther than, exceeding [av]
περηφάνεια, η 	pride (state of being proud)
περιβάλλον, το 	environment, surroundings
περιγράφω	describe [v]
περιέχω	contain [v]
περικάρπιο, το 	pod (seed pod)
περιμένω	wait (for), await [v]
περιοδικό, το 	magazine, journal
περιοδικό (-κή, -κός)	periodic [aj]
περίοδος, η 	period
περιορίζω	restrain, inhibit, hold back [v]
περιοχή, η 	region, area
περιπλανούμαι, περιπλανώμαι	drift, wander [v]
περισσότερο (-ρη, -ρος)	more [aj]
περπατάω	walk [v]
πεταλούδα, η 	butterfly
πετάω	1. fly [v] 2. throw, toss [v]
πέτρα, η 	stone
πετράδι, το 	jewel, gem
πετρέλαιο, το 	oil (crude), petroleum
πετσέτα, η 	towel
πετυχαίνω, επιτυγχάνω	succeed [v]
πεύκο, το 	pine
πηγαίνω, πάω	go [v]
πηγή, η 	1. spring of water 2. source
πηγούνι, το 	chin
πηδάλιο, το 	pedal
πηδάω	jump, leap [v]
πηλός, ο 	clay
πηνίο, το 	coil
πηρούνι, το 	fork
πιάνο, το 	piano
πιάνω	catch (stop the motion) [v]
πιάτο, το 	dish, plate
πιέζω	press (apply pressure) [v]
πιθανό (-νή, -νός)	probable [aj]
πιθανώς	probably [av]
πίθηκος, ο 	ape
πικρό (-ρή, ρός)	bitter [aj]
πίνω	drink [v]
πιο	more [av]
πιπέρι, το 	pepper (spice)
πιπεριά, η 	pepper (hot/sweet/bell pepper)
πιπερόρριζα, η 	ginger
πίσσα, η 	tar
πιστεύω	believe [v]
πιστό (-τή, -τός)	loyal [aj]
πίστωση, η 	credit (permission to borrow money)
πίσω	back [av]
πίσω από	behind
πίσω μέρος	rear, back part of
πίτσα, η 	pizza
πλάγιο (-για, -γιος), επικλινές (-νής, -νής)	sloped, inclined, declined (not horizontal) [aj]
πλανήτης, ο 	planet
πλαστικό, νάυλον, το 	plastic
πλάτη, η 	back (of body)
πλάτος, φάρδος, το 	width
πλατύ (-τιά, -τύς), φαρδύ (-διά, δύς)	wide, broad (of space between objects) [aj]
πλειοψηφία, η 	majority
πλένω	wash [v]
πλευρά, η 	side, flank, lateral area
πληγή, η 	wound
πληγώνω, τραυματίζω	injure, harm [v]
πλημμύρα, η 	flood, deluge
πληροφορία, η 	information
πληρώνω	pay [v]
πλοίο, καράβι, βαπόρι, το 	ship
πλούσιο (-ια, -ιος)	rich, wealthy [aj]
πνεύμα, το 	spirit
πνεύμονας, ο 	lung
πνίγω	drown [v]
ποδήλατο, το 	bicycle
πόδι, το 	1. foot 2. leg
ποδιά, η 	apron
ποδόσφαιρο, το 	soccer
ποίημα, το 	poem
πόλεμος, ο 	war
πόλη, η 	city
πολικότητα, η 	polarity
πολιτεία, η 	state (political entity)
πολιτική, η 	politics
πολιτισμός, ο 	civilization
πολλά (-λλές, -λλοί)	many (a large number of) [aj]
πολλαπλασιάζω	multiply [v]
πολύ	much, very [av]
πολύ (πολλή, πολύς)	much (a large quantity of) [aj]
πολύπλοκο (-κη, -κος)	complex [aj]
πόνος, ο 	pain
ποντίκι, το 	mouse
πορεία, η 	route, path, course
πόρτα, η 	door
πορτοκάλι, το 	orange (tree/fruit)
πορτοκαλί	orange (the color) [aj]
ποσότητα, η 	quantity
ποτάμι, το, ποταμός, ο	river
πότε	when (interrogative) [av]
ποτέ	1. ever (at any time) [av] 2. never [av]
που	that (complementizer) [cj]
πού	where (interrogative) [av]
πουκάμισο, το 	shirt
πουλάω	sell [v]
πουλί, το 	bird
πραγματικό (-κή, -κός)	real, actual [aj]
πρακτορείο, το 	agency, bureau
πράξη, η 	act, deed
πράσινο (-νη, -νος)	green [aj]
πρέσβυς, ο/η 	ambassador
πρήξιμο, φούσκωμα, το 	swelling, inflation
πριν	before [av]
πριν, προ	ago, before (in the past) [av]
πριόνι, το 	saw (the tool)
πρόβατο, το 	sheep
προβλέπω, περιμένω	predict, expect, anticipate [v]
πρόγραμμα, το 	program, programme
πρόεδρος, ο/η 	president
προειδοποιώ	warn [v]
προέλευση, η 	origin
προηγούμενο (-νη, -νος)	prior, preceding, previous [aj]
προκαλώ	cause [v]
πρόοδος, η 	progress, advancement
προορισμός, ο 	destination
προς	to, towards, toward [pr]
προς τα μπρος	forward, ahead [av]
προσβολή, η 	insult
προσεύχομαι	pray [v]
προσθέτω	add, append [v]
προσκαλώ	invite [v]
προσοχή, η 	attention, caution, prudence, carefulness
προσποιούμαι	pretend, act, feign [v]
προστατεύω	protect [v]
πρόσφατα	recently [av]
πρόσφατο (-τη, -τος)	recent [aj]
προσφέρω	offer [v]
προσφιλές (-λής, -λής)	dear, precious, cherished [aj]
προσφορά, η 	offer
πρόσωπο, το 	face
προσωρινό (-νή, -νός), εφήμερο (-ρη, -ρος)	temporary, transient, ephemeral [aj]
πρόταση, η 	sentence (of words)
προτείνω	suggest, propose [v]
προτίθεμαι	intend, mean to [v]
προτιμώ, είμαι υπέρ	favor, prefer [v]
προτού	earlier than [av]
πρωθυπουργός, ο/η 	prime minister
πρωί, το 	morning
πρωτότυπο (-πη, -πος)	novel, original (non-imitative) [aj]
πρώιμο (-μη, -μος)	early, premature [aj/av]
πυκνό (-νή, -νός)	dense [aj]
πυκνότητα, η 	density
πυραμίδα, η 	pyramid
πυρετός, ο 	fever
πύραυλος, ο 	rocket
πύργος, ο 	tower
πως	that (complementizer) [cj]
πώς	how [av]
ράβω	sew [v]
ραδιόφωνο, το 	radio (apparatus, wireless set)
ρακέττα, η 	racket, racquet
ράφι, το 	shelf
ραχοκοκκαλιά, σπονδυλική στήλη, η 	spine, backbone
ρέω	flow [v]
ρηχό (-χή, -χός)	shallow [aj]
ρίζα, η 	root
ρολόι, το 	clock, watch
ρόλος, ο 	role
ρόπαλο, το 	club, cudgel
ρουφάω	suck [v]
ρούχο, το 	garment
ρύζι, το 	rice
ρυθμός, ο 	rhythm
ρυτίδα, η 	wrinkle, crease
ρωτάω	ask, inquire [v]
σάκος, ο 	sack
σαλάτα, η 	salad
σαν	like, similar to [av]
σανίδα, η 	board (piece of wood)
σάντουϊτς, το 	sandwich
σαπίζω	rot, decay [v]
σαπούνι, το 	soap
σάρκα, η 	meat, flesh
σαφές (-φής, -φής)	clear, plain [aj]
σαύρα, η 	lizard
σβήνω	erase, delete [v]
σέβομαι	respect, venerate, esteem [v]
σειρά, η 	series
σεισμός, ο 	earthquake
σελίδα, η 	page
σεντόνι, το 	sheet (of cloth, covering a bed)
σεξ, το 	sex (copulation)
σήμα, το 	sign
σημάδι, το 	mark
σημαία, η 	flag, banner
σημαντικό (-κή, -κός)	important [aj]
σημείωση, η 	note, annotation
σήμερα	today [av]
σιγά, αργά	slowly [av]
σιγανό (-νή, -νός), εξασθενημένο (-νη, νος)	quiet, soft, faint (of little sonic intensity) [aj]
σίδερο, το 	iron
σιδηρόδρομος, ο 	railroad
σίτα, η 	screen, mesh
σιτάρι, στάρι, το 	wheat
σιφώνι, το 	drain
σιωπηλό (-λή, -λός)	silent [aj]
σκίζω	tear, rip [v]
σκίουρος, ο 	squirrel
σκάβω	dig [v]
σκάκι, το 	chess
σκάλα, η 	ladder, stair, stairs
σκαρφαλώνω	climb [v]
σκελετός, ο 	1. skeleton 2. frame(of building, glasses, etc.)
σκέφτομαι	think, ponder [v]
σκέψη, η 	thought
σκι, το 	ski
σκιά, η, ίσκιος, ο	shadow, shade
σκλάβα, η, σκλάβος, ο	slave
σκληρό (-ρή, -ρός)	hard, firm, resistant to pressure [aj]
σκόνη, η 	dust, powder
σκορ, το 	score (in sports, games)
σκόρδο, το 	garlic
σκορπίζω	spill (drop particles) [v]
σκοτεινό (-νή, -νός)	dark, dim [aj]
σκοτώνω	kill [v]
σκουλήκι, το 	worm
σκούπα, η 	broom
σκουπίδι, το 	garbage, trash, rubbish
σκουπίζω	sweep [v]
σκουριά, η 	rust
σκύλος, ο 	dog
σμπρώχνω	push (press on something) [v]
σοβαρό (-ρή, -ρός)	serious, earnest, grave [aj]
σόγια, η 	soya, soybean
σοκολάτα, η 	chocolate
σούπα, η 	soup
σουσάμι, το 	sesame
σοφία, η 	wisdom
σοφίτα, η 	attic, garret
σοφό (-φή, -φός)	wise [aj]
σπάζω	break (into pieces) [v]
σπαθί, το 	sword
σπανάκι, το 	spinach
σπάνια	seldom, rarely [av]
σπείρα, η 	spiral, whorl
σπηλιά, η 	cave
σπηρούνι, το 	spear, lance
σπίρτο, το 	match (little fire-stick)
σπίτι, το 	house, home
σπυρί, το 	grain
σπόρος, ο 	seed
στήθος, το 	1. chest (upper front of torso) 2. breast 3. white meat of chicken
σταγόνα, η 	drop (of liquid)
σταδιακό (-κή, -κός)	gradual [aj]
σταθερό (-ρή, -ρός)	constant, stable [aj]
σταθμός, ο 	station, depot
σταματάω	cease, stop, quit [v]
σταυρός, ο 	cross
σταφύλι, το 	grape
στάχτη, η 	ash
στέγη, η 	roof
στέκομαι	stand [v]
στέλνω	send, dispatch, transmit [v]
στεναχώρια, η 	sorrow, uneasiness
στενό (-νή, -νός)	narrow [aj]
στερεό, το 	solid
στερεό (-ρεή/-ρεά, -ρεός)	solid [aj]
στέρεο, το 	stereo system
στεριά, η 	earth (firm ground, not water or air)
στερούμαι	lack [v]
στιγμή, η 	moment, instant
στοιχείο, το 	element
στολίδι, το 	ornament, decoration
στόμα, το 	mouth
στομάχι, το 	stomach
στόμιο, το 	orifice
στοχεύω	aim [v]
στρατιώτης, ο 	soldier
στρατιωτικό (-κή, -κός)	military [aj]
στρατός, ο 	army
στρώμα, το 	layer
στυλό, το 	pen
στύλος, ο 	post (pole anchored in ground)
συγκεντρωμένο (-νη, -νος)	concentrated, not distracted [aj]
συγκεχυμένο (-νη, -νος)	obscure [aj]
συγκρίνω	compare [v]
συγχωρώ	forgive, pardon [v]
συζητάω	discuss, talk about [v]
σύζυγος, ο/η 	husband, wife, spouse
σύκο, το 	fig
συκώτι, το 	liver
συλλαβή, η 	syllable
συλλαμβάνω, πιάνω	capture, seize [v]
συλλογισμός, ο 	reasoning, rational thought
συμβαίνω	happen, occur [v]
συμβιβασμός, ο 	compromise
συμβόλαιο, το 	contract
σύμβολο, το 	symbol, sign, token
συμβουλή, η 	advice
συμπαθώ, λυπάμαι	pity, feel compassion [v]
σύμπαν, το 	universe
συμπεριφορά, η 	behavior, conduct
συμπυκνωμένο (-νη, -νος)	concentrated, with increased density [aj]
συμφραζόμενα, τα 	context (in language, meaning)
σύμφωνο, το 	consonant
συμφωνώ	agree [v]
συν	plus [cj]
συναντάω	meet, encounter (come across) [v]
σύνδεσμος, ο 	connection, joint, junction
συνδετήρας, ο 	staple
συνειδητό (-τή, τός)	conscious, aware [aj]
συνέπεια, η 	consequence
συνεργάζομαι	cooperate, collaborate [v]
συνεχίζω	continue, keep on [v]
συνήθειο, το, συνήθεια, η	habit, custom
συνηθισμένο (-νη, -νος)	usual [aj]
συνθλίβω	crush [v]
σύννεφο, το 	cloud
σύνολο, το 	1. set (math) 2. total, sum, aggregate
σύνορο, το 	border, boundary
σύνταγμα, το 	constitution (charter of an organization)
σύντομα	soon [av]
σύντομο (-μη, -μος)	short (of little duration), brief [aj]
σύριγγα, η 	syringe
σύρμα, το 	wire
συστέλλομαι, μαζεύω	shrink, contract [v]
σύστημα, το 	system
συσχετίζω	associate [v]
συσχετισμός, ο 	association
συχνά	frequently, often [av]
συχνότητα, η 	frequency, rate
σφαίρα, η 	1. sphere 2. bullet
σφήνα, η 	wedge
σφιχτό (-τή, -τός)	taut, tight, tense, strained [aj]
σφουγγάρι, το 	sponge
σφυρί, το 	hammer
σφυρίζω	whistle [v]
σχέδιο, το 	plan, design
σχέδιο, μοτίβο, το 	pattern
σχεδόν	almost, nearly [av]
σχέση, η 	relationship
σχετικά, αναφορικά	about [av]
σχήμα, το 	form, shape
σχισμή, η 	crack, fissure
σχοινί, το 	rope
σχολείο, το 	school
σχόλιο, το 	comment
σώζω	save, rescue [v]
σωλήνας, ο 	pipe, tube
σώμα, το 	body
σωρός, ο 	pile, heap
σωστό (-τή, -τός)	right, correct [aj]
ταβάνι, το 	ceiling
ταβέρνα, η 	tavern
ταινία, η 	band, tape
ταίριασμα, το 	match (suitable association of things)
ταλέντο, προσόν, το, δεξιοτεχνία, η	talent, skill, knack
τάξη, σειρά, η 	order
ταξίδι, το 	journey, trip, voyage
ταξινόμηση, η 	classification
ταπεινό (-νή, -νός)	humble [aj]
ταραχή, η 	riot
τάση, κλίση, η 	tendency, propensity, inclination
ταύρος, ο 	bull
ταυτόσημο (-μη, -μος)	identical [aj]
ταχυδρομώ	mail [v]
ταχύτητα, η 	speed, velocity
τελειώνω	end, conclude, finish [v]
τελετή, ιεροτελεστία, η 	ritual, rite, ceremony
τελευταίο (-αία, -αίος)	last, final [aj]
τελικά	eventually [av]
τέννις, το 	tennis
τεντώνω	stretch, extend [v]
τεράστιο (-ια, -ιος)	huge, enormous, humongous [aj]
τέσσερα	four [num]
τετράγωνο, το 	square
τέχνη, η 	art
τεχνητό (-τή, -τός)	artificial [aj]
τεχνική, η 	technique
τεχνολογία, η 	technology
τζάκι, το 	fireplace, hearth
τηγάνι, το 	pan
τηλεσκόπιο, το 	telescope
τηλεόραση, η 	television
τηλέφωνο, το 	telephone, phone
τίγρη, η, τίγρης, ο	tiger (Felis tigris)
τιμή, η, κόστος, το	price, cost
τιμωρώ	punish [v]
τμήμα, το, τομέας, ο	section, segment
το	the (neuter) [det]
το πιο	most (to the largest degree) [av]
το πολύ	at most, only, just, merely [av]
τοίχος, ο 	wall
τόνος, ο 	tone, pitch
τόξο, το 	bow
τοποθετώ	place [v]
τόπος, ο, τοποθεσία, η	place, location
τουαλέττα, η 	toilet, water closet
τούβλο, το 	brick
τουλάχιστον	at least [av]
τουφέκι, το 	gun
τραβάω	pull [v]
τραγουδάω	sing [v]
τράπεζα, η 	bank (the financial institution)
τραπέζι, το 	table (the furniture)
τρελό (-λή, -λός)	insane, crazy, mad [aj]
τρένο, το 	train
τρέχω	run [v]
τρία	three [num]
τριανταφυλλιά, η 	rosebush
τριαντάφυλλο, το 	rose
τρίβω	grind, rub, abrade [v]
τρίγωνο, το 	triangle
τρίχα, η 	hair (a single strand)
τρόπος, ο 	manner, way
τροφή, η 	food
τροχαλία, η 	pulley
τροχός, ο 	wheel
τρύπα, το 	hole
τρυπάνι, το 	drill
τρύπιο (-πια, -πιος)	hollow [aj]
τρώω	eat [v]
τσάι, το 	tea
τσάντα, η 	bag
τσεκούρι, το 	axe
τσέπη, η 	pocket
τσιγάρο, το 	cigarette
τσιγκούνης (-να), σπαγγορραμένος (-νη)	stingy [aj]
τσουγκράνα, η 	rake
τυλίγω	wrap [v]
τύμπανο, το 	drum
τυπώνω	print [v]
τυρί, το 	cheese
τυφώνας, ο 	tornado
τύχη, η 	luck, chance
τώρα	now [av]
υγιές (-ής, -ής)	healthy [aj]
υγρό, το 	liquid
υγρό (-ρή, -ρός)	wet, liquid [aj]
ύλη, η 	matter (physics)
υλικό, το 	material, substance
υπακούω	obey [v]
υπάρχω	exist, am [v]
υπέρ, υπέρ το δέον	too much, excessively [av]
υπέρβαρο (-ρη, -ρος)	obese [aj]
υπεύθυνο (-νη, -νος)	responsible, in charge [aj]
υπευθυνότητα, η 	responsibility, liability, accountability
υπηρετώ	serve [v]
υπνοδωμάτιο, το, κάμαρα, κρεβατοκάμαρα, η	bedroom
υπόγειο, το 	cellar, basement
υπογραμμίζω, δίνω έμφαση	emphasize, emphasise, accentuate, stress [v]
υποθέτω	suppose, presume [v]
υπολογίζω	calculate, compute, reckon [v]
υπολογιστής, ο 	computer
υπόλοιπο, το 	rest of, remainder
υπομονή, η 	patience
υποστηρίζω	support [v]
υπόσχεση, η 	promise , pledge
υφαίνω	weave [v]
ύφασμα, το 	fabric
ύψος, το 	height
φαγητό, το 	meal
φαίνομαι, μοιάζω	seem, appear to be [v]
φάκελος, ο 	envelope
φακή, η 	lentil
φακός, ο 	lens
φάλαινα, η 	whale
φαντάζομαι	imagine [v]
φάντασμα, το 	ghost
φάρμακο, το 	medicine (substance)
φασόλι, το 	bean
φεγγάρι, το 	moon
φελός, ο 	cork
φέρνω, φέρω	bring [v]
φεύγω	leave, depart [v]
φθινόπωρο, το 	fall, autumn
φίδι, το 	snake
φιλάω	kiss [v]
φιλεύσπλαχνο (-νη, -νος)	charitable [aj]
φίλη, φίλος	friend
φιλί, το 	kiss
φλέβα, η 	vein
φλυτζάνι, το 	cup
φοβάμαι	fear, be afraid of [v]
φορά, η 	iteration, time, instance
φόρμα, η 	uniform
φόρος, ο 	tax
φορτηγό, το 	truck, lorry
φορτίο, το 	load, burden
φουρνιά, η 	batch
φούρνος, ο 	oven
φούστα, η 	skirt
φούτμπωλ (αμερικάνικο), το 	football (American)
φράχτης, ο 	fence
φρένο, το 	brake
φρούτο, το 	fruit
φρύδι, ο 	eyebrow
φτάνω	arrive, reach, extend (as far as) [v]
φταρνίζομαι	sneeze [v]
φτέρνα, η 	heel
φτερό, το 	feather
φτερούγα, η 	wing (of bird)
φτηνό (-νή, -νός)	cheap, inexpensive [aj]
φτυάρι, το 	shovel
φτύνω	spit [v]
φτωχό (-χή/-χιά, -χός)	poor, impoverished [aj]
φυλακή, η 	prison, jail
φυλή, η 	race (group of people)
φύλλο, το 	1. leaf 2. sheet (of paper, metal, but not cloth)
φύλλο, λεπτό στρώμα, το 	film (very thin layer)
φύλο, το 	sex (gender)
φυσάω	blow [v]
φύση, η 	nature (the non-artificial world)
φυστίκι, το 	peanut
φυτό, το 	plant
φωλιά, η 	nest, den, lair
φωνάζω	cry out, shout, yell [v]
φωνή, η 	voice
φωνήεν, το 	vowel
φως, το 	light
φωτιά, η 	fire
φωτογραφία, η 	picture, photograph
χίλια	thousand [num]
χαλάζι, το 	hail
χαλαζίας, ο 	quartz
χαλαρό (-ρή, -ρός)	loose, baggy, slack [aj]
χαλινάρι, το 	harness
χαλκός, ο 	copper
χαμηλό (-λή, -λός)	low (not tall; of little height) [aj]
χαμογελάω	smile [v]
χάνω	misplace, lose [v], lose [vt]
χαρακτηριστικό, το 	quality, trait, attribute, characteristic
χαρούμενο (-νη, -νος)	happy [aj]
χάρτης, ο 	map
χαρτί, το 	paper
χείλος, το 	lip
χειμώνας, ο 	winter
χειρονομώ	gesture [v]
χελώνα, η 	turtle, tortoise
χέρι, το 	hand, arm
χερούλι, το 	handle, knob
χημεία, η 	chemistry
χημική ουσία, η 	chemical
χθες	yesterday [av]
χιόνι, το 	snow
χοίρος, ο 	swine
χόκεϋ, το 	hockey
χορεύω	dance [v]
χουρμάς, ο 	date (tree/fruit)
χρειάζομαι	need, require [v]
χρέος, το 	debt, obligation [to pay]
χρέωση, η 	debit, charge
χρησιμοποιώ	use, utilize, utilise [v]
χρονικό, το 	chronicle
χρόνος, ο 	1. time (the 4th universal dimension) 2. year
χρυσός, ο 	gold
χρώμα, το 	color
χτένα, η 	comb
χτίζω	build [v]
χτυπάω	hit, strike, beat, batter [v]
χτύπημα, το 	stroke, jolt, blow [of force]
χυμός, ο 	juice
χύνω	pour (cause to flow), spill (drop liquid, but not solid) [v]
χώμα, το 	soil
χώρα, η 	country
χωριό, το 	village
χωρίς, δίχως	without, lacking [av]
χωριστά	apart, separately [av]
χώρος, ο 	space (the one with three dimensions)
ψαλίδι, το 	scissors
ψαλιδίζω	trim, prune [v]
ψάρι, το 	fish
ψέμμα, το 	lie (falsehood)
ψεύδομαι, λέω ψέμματα	lie (utter a falsehood) [v]
ψεύτικο (-κη, -κος), λάθος	false, untrue [aj]
ψηλό (-λή, -λός)	high, tall [aj]
ψήνω	bake [v]
ψηφίζω	vote [v]
ψηφίο, το 	digit, numeral
ψυχή, η 	soul, psyche
ψυχρό (-ρή, -ρός)	cool [aj]
ψωμί, το 	bread
ωθώ	drive, impel, propel [v]
ωκεανός, ο 	ocean
ώμος, ο 	shoulder
ώρα, η 	hour
ωραίο (-αία, -αίος)	nice, good looking, handsome [aj]
ώριμο (-μη, -μος)	1. ripe [aj] 2. mature [aj]
